accession,type,species,description,last_update,factors
E-MEXP-2311,differential,Oryza sativa Japonica Group,Differential expression comparing organism part,,organism part
E-MEXP-849,differential,Arabidopsis thaliana,Differential expression comparing organism part,,organism part
E-GEOD-26646,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-15970,differential,Hordeum vulgare,"Differential expression comparing environmental stress, phenotype",,"environmental stress, phenotype"
E-GEOD-66419,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-3558,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-22538,differential,Oryza sativa,Differential expression comparing infect,,infect
E-GEOD-42415,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-3120,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-32193,differential,Arabidopsis thaliana,Differential expression comparing developmental stage,,developmental stage
E-GEOD-17500,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-GEOD-13735,differential,Oryza sativa,Differential expression comparing environmental stress,,environmental stress
E-GEOD-40245,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-25206,differential,Oryza sativa Indica Group,Differential expression comparing compound,,compound
E-GEOD-39708,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-39236,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-29086,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-49590,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-4023,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-71404,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-53957,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-31587,differential,Arabidopsis thaliana,Differential expression comparing light,,light
E-MTAB-1582,differential,Arabidopsis thaliana,Differential expression comparing stimulus,,stimulus
E-GEOD-58007,differential,Oryza sativa,Differential expression comparing conditions,,
E-GEOD-62893,differential,Oryza sativa Japonica Group,Differential expression comparing infect,,infect
E-GEOD-27985,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-2267,differential,Oryza sativa,Differential expression comparing growth condition,,growth condition
E-GEOD-33790,differential,Arabidopsis thaliana,"Differential expression comparing treatment, organism part",,"treatment, organism part"
E-GEOD-31834,differential,Oryza sativa Japonica Group,Differential expression comparing treatment,,treatment
E-GEOD-20221,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-41884,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-35700,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-56155,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-33441,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-GEOD-35057,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-39298,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-GEOD-50526,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-GEOD-19257,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-29364,differential,Arabidopsis thaliana,Differential expression comparing treatment,,treatment
E-GEOD-6825,differential,Arabidopsis thaliana,"Differential expression comparing growth condition, organism part",,"growth condition, organism part"
E-GEOD-34547,differential,Oryza sativa,Differential expression comparing conditions,,
E-GEOD-42028,differential,Oryza sativa,Differential expression comparing conditions,,
E-GEOD-59426,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-37408,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-18758,differential,Hordeum vulgare,Differential expression comparing treatment,,treatment
E-MEXP-2371,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-MEXP-703,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-948,differential,Rattus norvegicus,"Differential expression comparing disease, compound",,"disease, compound"
E-MTAB-1192,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-MTAB-1391,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-309,differential,Gallus gallus,Differential expression comparing organism part,,organism part
E-MTAB-4007,differential,Mus musculus,Differential expression comparing diet,,diet
E-MTAB-849,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MTAB-921,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-988,differential,Mus musculus,Differential expression comparing conditions,,
E-TABM-1216,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-1171,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-TABM-1029,differential,Homo sapiens,Differential expression comparing conditions,,
E-TABM-255,differential,Homo sapiens,Differential expression comparing conditions,,
E-TABM-1138,differential,Homo sapiens,Differential expression comparing clinical treatment,,clinical treatment
E-TABM-282,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-1422,differential,Homo sapiens,"Differential expression comparing cell type, developmental stage",,"cell type, developmental stage"
E-MTAB-4006,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-GEOD-51212,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-39803,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-3988,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-29657,differential,Arabidopsis thaliana,Differential expression comparing treatment,,treatment
E-GEOD-35166,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-57145,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-37553,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-20522,differential,Oryza sativa Indica Group,Differential expression comparing conditions,,
E-MTAB-1344,differential,Arabidopsis thaliana,Differential expression comparing environmental stress,,environmental stress
E-MEXP-838,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-63362,differential,Rattus norvegicus,"Differential expression comparing sex, organism part",,"sex, organism part"
E-GEOD-36271,differential,Oryza sativa Japonica Group,Differential expression comparing compound,,compound
E-GEOD-61059,differential,Arabidopsis thaliana,Differential expression comparing treatment,,treatment
E-MEXP-3328,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-54534,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-71001,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-34667,differential,Arabidopsis thaliana,Differential expression comparing environmental stress,,environmental stress
E-GEOD-6832,differential,Arabidopsis thaliana,"Differential expression comparing compound, ecotype",,"compound, ecotype"
E-GEOD-33344,differential,Arabidopsis thaliana,Differential expression comparing treatment,,treatment
E-GEOD-36581,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-54049,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-1256,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-44343,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-40354,differential,Arabidopsis thaliana,Differential expression comparing treatment,,treatment
E-GEOD-49418,differential,Arabidopsis thaliana,Differential expression comparing environmental stress,,environmental stress
E-GEOD-65840,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-68439,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-62895,differential,Oryza sativa,Differential expression comparing infect,,infect
E-GEOD-27077,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-37014,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-32566,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-1354,differential,Arabidopsis thaliana,"Differential expression comparing compound, organism part",,"compound, organism part"
E-TABM-142,differential,Hordeum vulgare,Differential expression comparing infect,,infect
E-GEOD-41097,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-GEOD-51480,differential,Arabidopsis thaliana,Differential expression comparing RNA,,RNA
E-GEOD-40549,differential,Oryza sativa,"Differential expression comparing environmental stress, organism part",,"environmental stress, organism part"
